City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Severo-Kuril'sk,50.6789,156.125,32.13,98,100,13.31,RU,1619402467
Khatanga,71.9667,102.5,13.82,92,100,14.7,RU,1619402762
Lagoa,39.05,-27.9833,59.16,84,100,10.94,PT,1619402762
Sioux Lookout,50.1001,-91.917,42.8,31,75,3.44,CA,1619402763
Punta Arenas,-53.15,-70.9167,46.4,93,75,2.3,CL,1619402763
Arraial do Cabo,-22.9661,-42.0278,74.23,85,64,9.44,BR,1619402763
Peniche,39.3558,-9.3811,57.0,91,95,7.0,PT,1619402763
Thompson,55.7435,-97.8558,30.2,100,90,3.31,CA,1619402763
Sur,22.5667,59.5289,83.84,42,19,6.42,OM,1619402764
Atherton,53.5237,-2.4935,42.01,80,39,2.33,GB,1619402764
Caravelas,-17.7125,-39.2481,75.49,84,2,6.55,BR,1619402764
Rikitea,-23.1203,-134.9692,78.01,75,28,5.97,PF,1619402764
Portland,45.5234,-122.6762,57.0,62,75,6.91,US,1619402764
Clyde River,70.4692,-68.5914,23.0,93,90,21.85,CA,1619402765
Vaini,-21.2,-175.2,82.4,78,40,9.22,TO,1619402765
Avarua,-21.2078,-159.775,82.4,74,40,11.5,CK,1619402765
Ushuaia,-54.8,-68.3,46.4,81,75,16.11,AR,1619402766
Castro,-24.7911,-50.0119,57.27,94,97,3.33,BR,1619402766
Busselton,-33.65,115.3333,69.01,76,99,5.01,AU,1619402766
Río Gallegos,-51.6226,-69.2181,53.6,50,0,10.36,AR,1619402766
Cap Malheureux,-19.9842,57.6142,75.0,90,100,4.0,MU,1619402766
Kalmar,56.6616,16.3616,35.01,86,20,5.75,SE,1619402767
Tomatlán,19.9333,-105.25,73.89,78,100,4.03,MX,1619402767
Puerto Ayora,-0.7393,-90.3518,75.36,84,7,6.96,EC,1619402767
Alice Springs,-23.7,133.8833,73.99,26,0,17.27,AU,1619402704
Tuktoyaktuk,69.4541,-133.0374,12.2,85,90,16.11,CA,1619402767
Atuona,-9.8,-139.0333,80.13,76,66,16.87,PF,1619402768
Alugan,12.2188,125.4808,81.45,68,9,9.66,PH,1619402768
Hobart,-42.8794,147.3294,64.4,48,20,16.11,AU,1619402702
Kaitangata,-46.2817,169.8464,50.0,71,100,18.01,NZ,1619402768
Tilichiki,60.4667,166.1,31.59,95,100,6.22,RU,1619402768
Leningradskiy,69.3833,178.4167,29.23,83,100,1.48,RU,1619402769
Pevek,69.7008,170.3133,24.55,86,99,4.85,RU,1619402769
Fort Nelson,58.8053,-122.7002,57.2,17,75,5.75,CA,1619402698
Bridlington,54.0831,-0.1919,34.0,85,17,1.01,GB,1619402769
Kremenchuk,49.0973,33.4197,42.44,84,80,7.49,UA,1619402770
Undory,54.6085,48.3928,37.4,70,2,15.66,RU,1619402770
Provideniya,64.3833,-173.3,41.0,60,0,2.1,RU,1619402770
Albany,42.6001,-73.9662,50.0,47,32,3.0,US,1619402770
Roald,62.5833,6.1333,33.8,86,8,9.22,NO,1619402771
Bethel,41.3712,-73.414,53.01,76,75,10.85,US,1619402771
Lyngseidet,69.5763,20.2189,32.0,93,75,4.61,NO,1619402771
Jamestown,42.097,-79.2353,36.0,75,40,10.36,US,1619402771
Berlevåg,70.8578,29.0864,29.82,84,97,13.87,NO,1619402772
Greymouth,-42.4667,171.2,54.16,79,87,12.17,NZ,1619402772
Turukhansk,65.8167,87.9833,18.14,75,40,4.12,RU,1619402772
Deputatsky,69.3,139.9,26.71,83,69,4.52,RU,1619402772
Saint George,37.1041,-113.5841,75.2,16,1,23.02,US,1619402772
Longyearbyen,78.2186,15.6401,14.0,67,20,3.44,SJ,1619402773
Çayeli,41.0923,40.7292,53.91,90,96,4.5,TR,1619402773
São Gabriel da Cachoeira,-0.1303,-67.0892,74.62,97,99,0.92,BR,1619402773
Jalu,29.0331,21.5482,61.29,57,0,10.09,LY,1619402773
Kapaa,22.0752,-159.319,78.8,69,20,13.8,US,1619402774
East London,-33.0153,27.9116,67.77,48,100,9.15,ZA,1619402774
Guerrero Negro,27.9769,-114.0611,59.86,80,100,15.26,MX,1619402774
Cabo San Lucas,22.8909,-109.9124,75.99,40,90,11.5,MX,1619402774
Mar del Plata,-38.0023,-57.5575,61.0,87,40,3.44,AR,1619402775
Gachsaran,30.3586,50.7981,68.0,32,0,3.87,IR,1619402775
Hermanus,-34.4187,19.2345,59.0,92,1,1.01,ZA,1619402775
Saint Paul Harbor,57.79,-152.4072,42.8,81,90,9.22,US,1619402775
Mossamedes,-15.1961,12.1522,75.52,69,0,10.96,AO,1619402776
Diego de Almagro,-26.3667,-70.05,58.08,66,0,0.63,CL,1619402776
Boyolangu,-8.1181,111.8935,82.99,70,28,2.21,ID,1619402776
Avera,33.194,-82.5271,66.2,82,90,6.24,US,1619402776
Sawākin,19.1059,37.3321,81.14,80,0,4.21,SD,1619402777
Rawson,-43.3002,-65.1023,60.62,50,46,20.11,AR,1619402777
Penzance,50.1186,-5.5371,46.4,87,90,22.59,GB,1619402775
Dikson,73.5069,80.5464,17.53,93,100,16.28,RU,1619402777
Saint-Philippe,-21.3585,55.7679,77.0,73,0,16.11,RE,1619402777
Siocon,7.7061,122.1353,86.18,62,90,2.86,PH,1619402777
Cao Bang,22.6667,106.25,71.35,98,100,0.76,VN,1619402778
Faanui,-16.4833,-151.75,81.34,63,5,1.19,PF,1619402778
Geraldton,-28.7667,114.6,80.6,26,0,17.27,AU,1619402778
Tura,25.5198,90.2201,88.5,23,4,5.46,IN,1619402778
Tuatapere,-46.1333,167.6833,46.99,80,100,18.01,NZ,1619402779
Bokoro,12.3807,17.0568,82.22,43,53,5.44,TD,1619402779
Hilo,19.7297,-155.09,77.0,69,90,5.75,US,1619402779
Esim,4.8699,-2.2405,79.95,84,100,6.04,GH,1619402779
Igarka,67.4667,86.5833,13.55,84,96,3.83,RU,1619402779
Dukat,62.55,155.55,15.13,71,100,3.89,RU,1619402780
Lavrentiya,65.5833,-171.0,32.99,94,95,0.96,RU,1619402780
Evensk,61.95,159.2333,26.92,82,96,9.44,RU,1619402780
Mpanda,-6.3655,31.0409,62.78,98,97,1.61,TZ,1619402780
Butaritari,3.0707,172.7902,83.1,73,18,11.81,KI,1619402780
Bundaberg,-24.85,152.35,75.2,46,75,12.66,AU,1619402717
Karera,25.4667,78.15,85.5,10,90,1.16,IN,1619402781
Biu,10.6129,12.1946,81.28,39,99,3.27,NG,1619402781
Ahipara,-35.1667,173.1667,63.68,67,27,9.28,NZ,1619402781
Pangnirtung,66.1451,-65.7125,31.03,83,98,5.64,CA,1619402781
Carnarvon,-24.8667,113.6333,86.0,23,0,8.05,AU,1619402782
Boueni,-12.9025,45.0761,77.0,88,0,5.75,YT,1619402782
Lüderitz,-26.6481,15.1594,61.09,91,92,3.22,NA,1619402782
Panabá,21.2833,-88.2667,79.02,72,4,6.46,MX,1619402782
Port Alfred,-33.5906,26.891,71.11,48,87,11.77,ZA,1619402782
Kruisfontein,-34.0033,24.7314,65.19,52,100,4.14,ZA,1619402783
Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.4,100,90,8.95,RU,1619402783
Kiryat Gat,31.61,34.7642,71.6,68,0,18.41,IL,1619402581
Tiksi,71.6872,128.8694,28.58,95,100,10.13,RU,1619402783
Amapá,1.0,-52.0,70.18,99,100,1.54,BR,1619402783
Loíza,18.4313,-65.8802,78.8,69,20,4.61,PR,1619402784
São Filipe,14.8961,-24.4956,71.56,72,100,9.55,CV,1619402784
Philippsburg,49.2358,8.4564,42.01,61,28,8.05,DE,1619402784
Codrington,-38.2667,141.9667,61.41,63,100,9.15,AU,1619402784
Nova Olinda do Norte,-3.8881,-59.0942,75.11,98,88,2.33,BR,1619402784
Hājīpur,25.6833,85.2167,78.8,24,1,3.44,IN,1619402785
São José da Coroa Grande,-8.8978,-35.1478,78.12,83,39,7.76,BR,1619402785
Barguzin,53.6167,109.6167,34.3,83,100,7.58,RU,1619402785
Esperance,-33.8667,121.9,73.4,33,0,17.27,AU,1619402786
Nantucket,41.2835,-70.0995,48.2,87,40,20.71,US,1619402786
Salalah,17.0151,54.0924,80.6,74,40,3.44,OM,1619402786
Mugur-Aksy,50.35,90.5,22.17,53,9,3.0,RU,1619402786
Traverse City,44.7631,-85.6206,35.6,55,75,5.55,US,1619402787
Eyl,7.9803,49.8164,82.29,76,96,6.91,SO,1619402787
Barrow,71.2906,-156.7887,21.2,79,1,17.27,US,1619402591
Hithadhoo,-0.6,73.0833,82.44,68,60,4.56,MV,1619402787
Salinópolis,-0.6136,-47.3561,78.85,84,63,8.14,BR,1619402787
Carinhanha,-14.3047,-43.765,76.87,68,100,2.66,BR,1619402788
Ponta do Sol,32.6667,-17.1,59.0,85,52,3.0,PT,1619402788
Keffi,8.8486,7.8736,82.4,61,0,4.61,NG,1619402788
Pisco,-13.7,-76.2167,64.4,88,40,2.3,PE,1619402789
Nouna,12.7333,-3.8667,91.13,23,98,5.21,BF,1619402789
Constitución,-35.3333,-72.4167,56.91,79,0,9.19,CL,1619402789
Northam,51.0333,-4.2167,44.01,80,48,13.0,GB,1619402789
Mehamn,71.0357,27.8492,32.76,82,99,9.37,NO,1619402789
Sambava,-14.2667,50.1667,72.84,88,100,7.99,MG,1619402790
Safi,32.2994,-9.2372,63.77,78,3,22.84,MA,1619402790
Nanortalik,60.1432,-45.2371,38.28,89,100,6.06,GL,1619402790
George Town,5.4112,100.3354,86.0,83,20,5.75,MY,1619402755
Visnes,59.3556,5.2242,41.0,70,75,4.61,NO,1619402791
Baiyin,36.5583,104.2081,42.8,52,2,2.24,CN,1619402569
Iqaluit,63.7506,-68.5145,32.0,93,90,3.78,CA,1619402791
Phalaborwa,-23.943,31.1411,60.8,100,0,2.3,ZA,1619402791
Erzin,36.9559,36.2,66.99,70,81,1.12,TR,1619402792
Aklavik,68.2191,-135.0107,17.6,73,100,8.05,CA,1619402531
Tual,-5.6667,132.75,83.17,69,77,8.03,ID,1619402792
Siguiri,11.6667,-9.5,85.03,43,75,4.81,GN,1619402793
Port Elizabeth,-33.918,25.5701,57.2,88,0,5.75,ZA,1619402793
Khilok,51.3674,110.4676,33.75,97,100,15.19,RU,1619402793
Cape Town,-33.9258,18.4232,63.0,82,75,9.22,ZA,1619402522
Kavaratti,10.5669,72.642,83.84,74,24,7.25,IN,1619402794
Yaring,6.8662,101.3689,78.8,89,20,2.3,TH,1619402794
Monterey,36.2505,-121.2516,57.2,62,90,8.05,US,1619402794
Ransang,8.9603,117.5828,84.72,69,28,5.97,PH,1619402794
Ayagoz,47.9714,80.4392,44.13,37,38,3.0,KZ,1619402795
Zharkent,44.1628,80.0,59.02,23,18,1.66,KZ,1619402795
Grootfontein,-19.5667,18.1167,55.99,34,0,4.5,NA,1619402795
Mataura,-46.1927,168.8643,46.99,80,100,18.01,NZ,1619402795
Ojinaga,29.5667,-104.4167,84.2,10,1,6.91,MX,1619402796
Conde,-7.2597,-34.9075,77.0,88,20,4.61,BR,1619402796
Yenagoa,4.9247,6.2642,78.33,88,93,3.56,NG,1619402796
Margate,51.3813,1.3862,43.0,68,9,4.0,GB,1619402796
Norman Wells,65.282,-126.8329,37.4,41,20,11.5,CA,1619402797
Cairns,-16.9167,145.7667,75.2,94,75,8.05,AU,1619402753
Saýat,38.7839,63.8803,60.8,39,0,6.91,TM,1619402797
Antofagasta,-23.65,-70.4,60.8,82,0,4.61,CL,1619402566
Dustlik,40.5247,68.0358,61.79,37,2,3.53,UZ,1619402798
Tuy Hoa,13.0833,109.3,86.25,65,14,3.87,VN,1619402774
Naples,40.8333,14.25,55.0,71,0,4.61,IT,1619402798
Te Anau,-45.4167,167.7167,47.77,83,96,7.29,NZ,1619402798
Kavieng,-2.5744,150.7967,83.68,67,91,2.53,PG,1619402799
Mount Gambier,-37.8333,140.7667,57.2,82,90,6.91,AU,1619402799
Broken Hill,-31.95,141.4333,68.0,42,0,3.44,AU,1619402799
Bratsk,56.1325,101.6142,35.6,75,40,11.18,RU,1619402691
Praia da Vitória,38.7333,-27.0667,59.0,88,75,11.03,PT,1619402800
Kalmunai,7.4167,81.8167,80.4,76,100,4.79,LK,1619402800
Gurupá,-1.405,-51.64,74.48,97,89,3.0,BR,1619402800
Chui,-33.6971,-53.4616,59.95,79,38,8.7,UY,1619402800
Bluff,-46.6,168.3333,46.99,80,96,18.01,NZ,1619402801
São Sebastião,-23.76,-45.4097,71.31,78,96,0.96,BR,1619402801
Narsaq,60.9167,-46.05,50.0,32,75,32.21,GL,1619402801
Meulaboh,4.1363,96.1285,81.88,72,88,2.93,ID,1619402801
Miajadas,39.1513,-5.9084,54.0,91,73,5.01,ES,1619402801
Hong Kong,22.2855,114.1577,75.0,79,100,3.0,HK,1619402612
Alta Floresta,-9.8756,-56.0861,71.49,95,95,2.91,BR,1619402802
Pemangkat,1.1667,108.9667,83.8,70,5,3.49,ID,1619402802
Kitgum,3.2783,32.8867,64.9,98,88,1.57,UG,1619402802
Bredasdorp,-34.5322,20.0403,51.8,93,95,3.44,ZA,1619402802
Kashiwazaki,37.3667,138.55,51.01,45,14,1.99,JP,1619402590
Copiapó,-27.3667,-70.3333,60.8,77,90,8.05,CL,1619402803
Tonj,7.2737,28.6822,73.17,82,74,3.78,SS,1619402803
Liverpool,53.4106,-2.9779,44.6,81,36,6.91,GB,1619402804
Cherskiy,68.75,161.3,20.66,75,86,6.24,RU,1619402804
Port Shepstone,-30.7414,30.455,64.53,74,18,4.97,ZA,1619402640
Nikol'sk,53.7189,46.0712,35.17,79,14,13.53,RU,1619402805
Haapiti,-17.5667,-149.8667,86.0,66,20,10.36,PF,1619402805
Cidreira,-30.1811,-50.2056,66.7,62,100,13.27,BR,1619402805
Port-Gentil,-0.7193,8.7815,82.2,78,31,6.71,GA,1619402805
Qaqortoq,60.7167,-46.0333,50.0,32,75,32.21,GL,1619402806
Bambous Virieux,-20.3428,57.7575,75.2,94,75,11.5,MU,1619402806
Gonbad-e Kāvūs,37.25,55.1672,60.94,72,7,2.62,IR,1619402806
Machalí,-34.1833,-70.6667,59.31,38,0,1.74,CL,1619402806
Coquimbo,-29.9533,-71.3436,53.6,94,0,3.44,CL,1619402806
Bend,44.0582,-121.3153,42.8,75,40,4.61,US,1619402807
Kralendijk,12.15,-68.2667,78.8,83,13,11.5,BQ,1619402807
Rocha,-34.4833,-54.3333,59.99,72,79,7.49,UY,1619402807
Kloulklubed,7.0419,134.2556,86.0,74,75,13.8,PW,1619402808
Empório,40.4833,21.55,42.8,93,5,1.14,GR,1619402808
Ancud,-41.8697,-73.8203,53.01,93,75,3.44,CL,1619402804
Saldanha,-33.0117,17.9442,60.8,94,15,9.22,ZA,1619402808
Maragogi,-9.0122,-35.2225,77.72,83,38,6.87,BR,1619402809
Opuwo,-18.0607,13.84,62.44,59,0,2.98,NA,1619402809
Necochea,-38.5473,-58.7368,54.0,89,56,5.37,AR,1619402809
New Norfolk,-42.7826,147.0587,61.0,75,100,8.01,AU,1619402809
Corn Island,12.1694,-83.0418,80.92,75,6,13.35,NI,1619402810
Siyabuswa,-25.1132,29.0445,55.04,26,0,3.15,ZA,1619402810
Kourou,5.1552,-52.6478,80.6,83,40,3.44,GF,1619402810
Udachny,66.4167,112.4,12.56,83,100,26.24,RU,1619402811
Indramayu,-6.3264,108.32,83.34,69,5,10.22,ID,1619402801
Lumeje,-11.55,20.7833,63.54,84,9,3.49,AO,1619402811
Sortavala,61.7053,30.6918,37.53,92,47,11.21,RU,1619402811
Ponta Delgada,37.7333,-25.6667,57.2,88,75,8.05,PT,1619402658
Upernavik,72.7868,-56.1549,27.91,78,61,4.07,GL,1619402812
Asău,46.4333,26.4,39.99,66,51,0.72,RO,1619402812
Tasiilaq,65.6145,-37.6368,39.2,65,75,16.11,GL,1619402812
Taft,31.7471,54.2088,75.2,27,40,4.61,IR,1619402812
Chilca,-12.5211,-76.7372,63.0,88,40,4.61,PE,1619402813
Nyandoma,61.669,40.1991,38.82,97,100,5.37,RU,1619402813
Lorengau,-2.0226,147.2712,85.75,65,86,3.4,PG,1619402813
Plouzané,48.3833,-4.6167,46.4,81,0,18.41,FR,1619402813
Saint-Leu,-21.15,55.2833,77.0,73,0,16.11,RE,1619402813
San Cristobal,7.7669,-72.225,78.8,83,75,3.44,VE,1619402814
Beloha,-25.1667,45.05,69.89,76,0,5.1,MG,1619402514
Klaksvík,62.2266,-6.589,42.8,100,100,18.41,FO,1619402814
Ratnapura,6.6828,80.3992,79.16,86,100,0.4,LK,1619402814
Okhotsk,59.3833,143.3,26.29,58,3,5.7,RU,1619402815
Bengkulu,-3.8004,102.2655,82.09,71,52,3.89,ID,1619402771
Katsuura,35.1333,140.3,59.0,35,20,10.36,JP,1619402755
Kapoeta,4.7717,33.5903,73.83,77,100,3.0,SS,1619402815
Ballina,-28.8667,153.5667,73.4,64,17,8.05,AU,1619402570
Egvekinot,66.3167,-179.1667,28.92,88,11,1.03,RU,1619402816
Bintulu,3.1667,113.0333,82.4,89,20,5.75,MY,1619402816
Vestmannaeyjar,63.4427,-20.2734,44.55,79,1,5.12,IS,1619402816
Bousso,10.4795,16.7117,84.52,44,40,7.56,TD,1619402817
Melo,-32.3667,-54.1833,53.67,95,24,7.2,UY,1619402817
Linping,30.4225,120.2972,71.6,68,20,6.71,CN,1619402631
Xining,36.6167,101.7667,42.62,62,73,6.11,CN,1619402818
Bachaquero,9.9694,-71.1494,81.46,72,13,4.72,VE,1619402818
Nikolskoye,59.7035,30.7861,37.99,93,90,8.95,RU,1619402818
Hualmay,-11.0964,-77.6139,66.36,87,28,8.84,PE,1619402561
Cayenne,4.9333,-52.3333,80.6,83,40,3.44,GF,1619402818
Husavik,66.0449,-17.3389,35.6,93,90,11.5,IS,1619402819
Wadi Maliz,36.4681,8.5495,53.6,87,40,2.3,TN,1619402819
Lebu,-37.6167,-73.65,54.64,92,36,9.28,CL,1619402819
Nemuro,43.3236,145.575,41.0,30,40,14.97,JP,1619402820
Shimoda,34.6667,138.95,57.2,41,20,19.57,JP,1619402820
Mellieħa,35.9564,14.3622,57.2,88,0,4.61,MT,1619402820
Ust-Nera,64.5667,143.2,20.89,82,100,5.97,RU,1619402820
Pánormos,35.4182,24.6909,57.99,72,20,26.46,GR,1619402820
Yellowknife,62.456,-114.3525,10.4,72,90,12.66,CA,1619402821
Qaanaaq,77.484,-69.3632,28.13,65,3,8.66,GL,1619402821
Saint Anthony,45.0205,-93.218,43.0,52,90,9.22,US,1619402821
Kaeo,-35.1,173.7833,66.0,75,19,5.99,NZ,1619402821
Basoko,1.2391,23.616,70.57,94,100,3.67,CD,1619402808
Suratgarh,29.3167,73.9,85.8,12,0,3.42,IN,1619402822
Toba,34.4833,136.85,57.99,46,0,8.99,JP,1619402822
Salamiyah,35.0113,37.0532,66.47,43,21,2.57,SY,1619402822
Yumen,40.2833,97.2,46.4,10,9,16.13,CN,1619402674
Yatou,37.15,122.3833,60.6,55,97,10.13,CN,1619402614
Naze,28.3667,129.4833,75.2,60,75,14.97,JP,1619402823
Hare Bay,48.8499,-54.0148,42.8,65,7,10.36,CA,1619402823
Bangsund,64.3968,11.3949,36.0,73,72,5.01,NO,1619402823
Porto Nacional,-10.7081,-48.4172,71.6,100,75,3.44,BR,1619402823
Seymchan,62.8833,152.4333,19.26,73,50,5.59,RU,1619402824
Coahuayana Viejo,18.7333,-103.6833,74.37,81,96,2.35,MX,1619402825
Mount Isa,-20.7333,139.5,84.2,39,79,13.8,AU,1619402825
Balabac,7.9868,117.0645,83.95,71,72,6.82,PH,1619402826
Ouésso,1.6136,16.0517,72.55,86,100,1.63,CG,1619402826
Pedasí,7.5333,-80.0333,82.06,75,28,16.13,PA,1619402826
Myitkyina,25.3833,97.4,91.83,21,2,1.5,MM,1619402826
Puerto del Rosario,28.5004,-13.8627,68.0,68,0,6.91,ES,1619402545
Agadez,19.75,10.25,82.74,12,6,5.77,NE,1619402827
Linqing,36.8456,115.7117,61.09,36,100,3.83,CN,1619402827
Pirovskoye,57.6267,92.2658,35.64,98,100,6.08,RU,1619402827
Djibouti,11.5,42.5,82.4,83,75,6.71,DJ,1619402827
Ossora,59.2353,163.0719,33.4,98,97,0.81,RU,1619402828
Waipawa,-41.4122,175.5153,60.8,48,25,17.27,NZ,1619402828
Ciudad Bolivar,8.1222,-63.5497,83.07,60,100,15.3,VE,1619402828
Lompoc,34.6391,-120.4579,53.6,82,100,8.05,US,1619402829
Hasaki,35.7333,140.8333,61.0,26,20,17.27,JP,1619402829
Bonfim,3.0833,-59.95,76.91,85,100,6.08,BR,1619402830
Ribeira Grande,38.5167,-28.7,57.2,77,20,5.75,PT,1619402830
Zbarazh,49.6636,25.7762,34.0,83,100,7.31,UA,1619402830
